name,kcal,carb,prot,fat,price,disc
Avocado - 4,358,3.2,3.4,35.1,3.49,Netje van vier
Avocado - Los,89.5,0.8,0.85,8.775,1.29,Losse Avocado
Bloemkool - Bloemkoolrijst,25,2.9,1.9,0.2,1.74,Bloemkoolrijst gekoeld
Bloemkool - Diepvries Rijst,33,3.3,3,0,1.69,600g Diepvries zak
Bloemkool - Diepvries zak groot,41.25,4.125,3.75,0,2.3,Diepvries zak 750g
Bloemkool - Diepvries zak klein,21,2.2,2.8,0.5,1.56,400g van Bonduelle
Boter,93.25,0.125,0.125,10.25,0.38,50g 
Bouillon - Groente,7,1,0.15,0.25,0,1 Blokje van Jumbo
Bouillon - Kip,7,1,0.15,0.25,0,1 Blokje van Jumbo
Bouillon - Runder,8,1,0.15,0.4,0,1 Blokje van Jumbo
Bouillon - Vis,6.5,0.7,0.2,0.35,0,1 Blokje van Jumbo
Broccoli - Diepvries Rijst,39,3,4.5,0,1.69,600g Diepvries zak
Broccoli - Diepvries Zak Groot,47.25,3.5,5.25,0,1.62,750g Zak
Broccoli - Diepvries Zak Klein,29.25,2.225,3.375,0,0.98,1 Kleine Zak
Champignons,28,5,2.2,0.5,1.26,400g
Cherry Tomaat,11.25,2.45,0.55,0.125,0.89,250g Bakje
Chinese Kool,26,4.6,3.18,0.44,1.49,Een kool
Chorzio,289.375,0.625,11.25,26.875,1.51,1 Licht Pittge Chorizo
Courgette,64,12.1,4.8,1.2,0.69,1 Stuk
Crème Fraiche,145,1.2,1.25,15,1.18,200g Bkaje
Echilada Kruiden,19.04,2.1,0.77,0.504,0.88,1/4 Enchilada
Ei - 1 Ei,90,0.2,8.4,6.2,1.85,Doosje van 6 large eieren
Ei - 12 Eieren,225,0.5,21,15.5,2.75,1/4 van een doos
Garnalen,61.5,0,12,1.5,4.99,300g Diepvries
Gemengd Gehakt,229,0.1,17.9,17.4,2.55,500g
Griekse Yoggurt ,45.375,1.575,1.3125,3.75,0.44,150g bakje
Groene pesto,183.35,1.3775,1.9,18.715,0.92,Potje 190g
Hamburger,238.7,4.18,18.59,16.28,2.66,4 in een doos (3 voor 8)
Kaas - Brie,175,1,17,31,0.99,200g pak
Kaas - Cheddar,140,2.6,6.5,11.3,0.91,Pakje met 8 plakken
Kaas - Feta,140,1.5,14.7,11.5,2.04,200g pak
Kaas - Grozette Flakes,91.25,0,7.25,7,1.79,100g Zakje Zwart
Kaas - Jong Blok,328.125,0,21,27.125,2.99,Blok 450g
Kaas - Jonge Plakken,82.03125,0,5.25,6.78125,2.05,190g
Kaas - Kaasplakken,177.175,0,11.1625,14.535,1.94,Pak 190g
Kaas - Mozzarella,134.75,0.825,9.9,10.175,1.04,2 Goedkope pakjes
Kaas - Padano,99.5,0,8.25,7.25,1.33,Rood zakje 100g
Kaas - Ricotta,105.625,3.125,5,8.125,2.33,Galbani 250g
Kaas - Strooikaas,185,1.3,12.15,14.55,1.97,1/4 Zakje
Kaas - Strooikaas Groot,230,1.625,14.875,18.25,1.99,Grote Ok€ zak
Kip - Kipfilet beleg,63.4375,0.875,8.3125,2.23125,1.74,175g
Kip - Kipfilet borst,106.275,0,23.01,1.56,4.56,2 Stuks van 390 gram
Kip - Kipgehakt,136.5,0,13.7375,9.1,3.25,350g
Kip - Kippendij filet,146.125,0,15.225,9.275,2.5,1/4 van 350g
Komkommer,14,2.2,0.6,0.2,0.79,
Kruidenboter,150,0.25,0.25,16.425,1.1,100g bakje
Lente ui,6,1.37625,0.343125,0.035625,0.75,75 gram
Maza - Baba Anoesh,130,3.25,0.75,13.2,1.85,200g Bakje / Aubergine
Maza - Esfenaj,116.5,2.3,2.1,10.4,1.99,200g Bakje / Spinazie Amandel
Maza - Hummus,156,3,3.2,15.2,1.46,200g Bakje
Maza - Hummus Kerrie,154.5,3.7,3.2,14.75,2.07,200g Bakje
Maza - Hummus Tuinkruiden,175,2.8,3.05,16.4,1.99,200g Bakje
Maza - Tahina,155,3.35,5.75,13,2.09,200g Bakje / Sesam Knoflook
Noten mix,146.25,2.3,5.05,12.6,0.84,25g
Olijven,48.59,0,0.2825,5.085,0.42,Huismerk 220
Paprika,20,4.6,0.9,0.2,0.99,100g ongeveer 1 ding
Pesto - Groene Pesto,183.35,1.3775,4.275,5.8,0.92,Potje 190g
Philadelphia Kruidenkaas,101.75,1.98875,2.45125,9.25,1.85,
Philadelphia Orignal,117.5,2,2.75,10.75,1.89,
Pindakaas - 100g,165.5,2.35,5.225,14.65,0,100g Uit pak
Pindakaas - Eetlepel,99,1.4,3.1,8.8,0,4 Eetlepels uit bestaande
Pindakaas - Pot,482.25,7.65,16.95,41.4,1.38,300g huismerk
Pure Chocolade 85,132.5,4.75,2.75,11.5,1.59,85% Pure Chocolade
Roerbak - Champignon,52,2.9,1.8,0.3,1.99,
Roerbak - Chinees,29,4,1.7,0.2,1.99,
Roerbak - Hollands,31,4.1,1.5,0.3,1.99,
Roerbak - Italiaans,30,5,1.2,0.2,1.99,
Roerbak - Mexicaans,43,6.2,2,0.5,1.99,
Roerbak - Nasi/Bami,36.25,5.25,1.875,0.25,1.79,500g Bami en Nasi Groente
Roerbak - Thaise,32,4,1.8,0.5,2.05,
Saucijzen - 1,55.8,0.08,1.06875,1.45,0.45,1 Worst
Saucijzen - 4,223.2,0.32,4.275,5.8,1.8,4 Worsten
Saus - Aioli,231.4,1.0725,0.39,25.0575,1.89,Potje 130g
Saus - Knoflook saus,94,3,0.25,9,0.88,25ml
Saus - Mayonaise,94,0.5,0.1,10.1,0,15ml
Saus - Salsa - Hot,6,1.1,1.2,0,0.33,1 Eetlepel Potje 230g
Saus - Salsa - Medium,6,1.3,1,0,0.28,1 Eetlepel Potje 230g
Saus - Salsa - Mild,7,1.4,0.2,0.3,0.26,Eetlepel mild
Saus - Sambal,10.15,1.55,0.575,0.095,2.8,Rawit en 1 Cayenne peper
Schouderhamblokjes,105.75,1.725,11.4,1.425,1.97,300g pak
Schouderkarbonade,251.1,0,25.785,16.47,3.07,540g pak
Sesam Olie,31.05,0,0,3.45,0,1 Eetlepel
Shoarma - Kippendij Gyros,142,0.8,18.5,6.8,2.66,400g Van de 3 voor 8
Shoarma - Shoarma,143,0.8,19.7,6.7,5,100g
Shoarma - Varkens Gyros,271.875,1.3125,37.3125,12.75,5.5,750g
Shoarma - Varkens Shoarma,168.75,1.625,25,6.875,3.5,500g
Sla - Botersla,3.25,0.075,0.35,0.1,1.67,100g
Sla - Ijsbergsla gesneden,32,0.9,0.45,0.15,1,200g Zak
Sla - Ijsbergsla krop,57.6,1.62,0.81,0.27,0.89,
Sla - Rucola,4.8875,0.02125,0.74375,0.10625,1,Zakje 85g
Slagroom,210,1.875,1.4375,21.875,1.08,1/4 bakje van 250g
Sojasaus - Japans,17.55,2.25,2.115,0,0,6 Eetlepels Japans
Sojasaus - Manis,15.75,3.3,0.42,0,0,1 eetlepel
Sojasaus - Mix,34.3125,7.0875,1.45125,0,0,3 Eetlepels manis 3 eetlepes japans
Spek - Ontbijtspek,135.625,0.4375,6.125,12.25,1.3,Pak 175g
Spek - Spekjes zak,210,0.375,11.25,18,2.19,Een kwart van een 300g zakje
Sperzie bonen,34.875,4.725,2.1375,0.225,0.71,Kwart van 450g zak
Spinazie - Ala Crème Diepvries,46.125,3.4875,2.025,2.1375,0.54,450g Diepvires Deelblokjes
Spinazie - Diepvries,31.5,2.25,2.25,0.675,0.48,450g Gehakte Spinazie Diepvries
Spinazie - Vers 200g,13,0.45,1.6,0.3,1.19,Vers gewassen 200g
Spinazie - Vers 400g,26,0.9,3.2,0.6,1.5,400g Vers
Tofu,150,0.25,17.25,8.5,1.47,500g Natural Tofu
Tomaten Blokjes,20,3,1.2,0.2,0.44,400g uit blik
Vis - Tonijn,180,0.1,23.5,9.5,4.17,John west 400g
Vis - Zalm,61.25,0,12,1.4375,2.77,2*125 gram
Vis -Pangius filet,114.75,0,23.355,2.43,2.92,540g
Whey Protein,103,1,21,1.9,0,25g
Witte kool,14,1.9,0.8,0.1,1.25,50g
Worst - Fuet,172.125,0.85,10.625,14.025,2.25,Spaanse fuet
Worst - Gegrilde Worst,222.75,2.1,9.75,19.5,1.34,300g Gegrilde worst
Worst - Rookorst,286.875,1.59375,13.125,25.3125,1.4,375g
Worst - Smac,228.65,2.72,10.88,19.38,1.7,Jumbo Luncheon Meat
